VehicleNumber,Lines,Lat,Lon,Time
3171,1,52.25883,21.00287,2025-01-20 21:03:04
3172,24,52.260162,20.9249,2025-01-20 21:03:04
3173,26,52.291866,20.929905,2025-01-20 21:03:08
3174,24,52.237,21.046087,2025-01-20 21:02:35
3175,23,52.26022,21.042881,2025-01-20 21:03:07
3176,1,52.256096,21.054575,2025-01-20 21:03:09
3178,33,52.20673,21.002666,2025-01-20 21:03:04
3180,3,52.245796,21.076153,2025-01-20 21:03:07
3181,9,52.25597,21.053032,2025-01-20 21:02:59
3183,23,52.231842,20.972534,2025-01-20 21:03:07
3184,10,52.16812,21.015923,2025-01-20 21:02:45
3185,10,52.23871,20.900972,2025-01-20 21:03:07
3186,9,52.18878,21.000519,2025-01-20 21:03:08
3187,24,52.231613,20.969994,2025-01-20 21:03:06
3189,1,52.230774,20.984129,2025-01-20 21:03:05
3190,1,52.30424,21.025597,2025-01-20 21:03:06
3191,10,52.232254,20.973007,2025-01-20 21:03:05
3194,10,52.168186,21.016363,2025-01-20 21:03:02
3195,20,52.265656,21.020346,2025-01-20 21:03:03
3196,1,52.219055,20.984632,2025-01-20 21:03:07
3198,1,52.29854,21.021923,2025-01-20 21:03:03
3199,1,52.264538,21.02353,2025-01-20 21:03:05
3200,26,52.24458,21.001831,2025-01-20 21:03:02
3202,33,52.23869,20.995955,2025-01-20 21:03:07
3203,1,52.257004,21.032564,2025-01-20 21:03:06
3206,9,52.235966,21.04112,2025-01-20 21:03:05
3209,24,52.236214,20.98044,2025-01-20 21:02:43
3210,20,52.250996,21.04549,2025-01-20 21:02:43
3212,1,52.304188,21.025072,2025-01-20 21:03:05
3213,1,52.210464,20.980196,2025-01-20 21:03:05
3214,26,52.225914,20.916216,2025-01-20 21:03:06
3215,3,52.247513,21.049894,2025-01-20 21:02:46
3216,9,52.205906,20.972034,2025-01-20 21:03:06
3217,17,52.29981,20.928453,2025-01-20 21:03:03
3220,22,52.22972,21.01112,2025-01-20 21:03:08
3222,33,52.186592,21.000587,2025-01-20 21:03:06
3223,10,52.22812,21.001648,2025-01-20 21:03:06
3224,7,52.22767,21.001709,2025-01-20 21:03:07
3226,22,52.27137,20.943953,2025-01-20 21:03:06
3229,9,52.175846,20.943752,2025-01-20 21:03:11
3231,9,52.244568,21.084963,2025-01-20 21:03:09
3233,26,52.290047,20.929335,2025-01-20 21:02:56
3236,17,52.30622,21.024092,2025-01-20 21:03:06
3237,7,52.197025,20.964209,2025-01-20 21:03:08
3242,15,52.176018,20.943823,2025-01-20 21:02:46
3243,10,52.22074,20.917116,2025-01-20 21:03:07
3245,17,52.181908,20.988815,2025-01-20 21:03:03
3246,17,52.228413,21.001505,2025-01-20 21:03:06
3247,18,52.235565,21.008333,2025-01-20 21:03:05
3248,15,52.216473,20.981564,2025-01-20 21:03:10
3249,9,52.20676,21.003096,2025-01-20 21:03:04
3250,9,52.18606,20.99858,2025-01-20 21:03:05
3251,17,52.252056,20.984848,2025-01-20 21:03:04
3252,9,52.186367,21.000624,2025-01-20 21:03:10
3253,26,52.234894,20.972546,2025-01-20 21:03:10
3257,24,52.238228,21.118753,2025-01-20 21:03:08
3259,3,52.29846,21.021828,2025-01-20 21:03:06
3260,9,52.238155,21.118826,2025-01-20 21:03:06
3261,24,52.247345,20.95378,2025-01-20 21:03:06
3262,1,52.229538,20.985107,2025-01-20 21:03:03
3265,1,52.304623,21.025354,2025-01-20 21:03:07
3266,25,52.23195,21.021488,2025-01-20 21:03:05
3267,9,52.24508,21.088797,2025-01-20 21:03:05
3268,9,52.233032,21.026716,2025-01-20 21:03:09
3271,15,52.269924,20.985525,2025-01-20 21:03:07
3273,26,52.24995,21.041454,2025-01-20 21:03:10
3275,9,52.228294,21.00442,2025-01-20 21:03:07
3276,9,52.202557,20.969128,2025-01-20 21:03:07
3277,18,52.199425,21.023844,2025-01-20 21:03:07
3278,26,52.247013,20.911463,2025-01-20 21:03:05
3279,1,52.288128,21.030745,2025-01-20 21:03:04
3280,22,52.271664,20.945288,2025-01-20 21:02:53
3285,33,52.22019,21.004862,2025-01-20 21:02:34
3287,26,52.263317,20.92736,2025-01-20 21:03:06
3289,20,52.23629,20.978241,2025-01-20 21:03:09
3291,23,52.254547,21.034222,2025-01-20 21:03:06
3293,23,52.247368,20.956812,2025-01-20 21:03:08
3294,24,52.25876,20.921856,2025-01-20 21:03:05
3502,2,52.316845,20.95621,2025-01-20 21:02:55
3603,17,52.189327,21.00193,2025-01-20 21:03:11
3604,31,52.189575,21.001917,2025-01-20 21:03:08
3606,31,52.262043,20.992949,2025-01-20 21:03:13
3613,17,52.206867,21.004126,2025-01-20 21:03:12
3614,31,52.189323,21.01963,2025-01-20 21:03:08
3620,10,52.213287,21.02138,2025-01-20 21:03:11
3622,31,52.18731,21.002028,2025-01-20 21:03:10
3626,33,52.27902,20.931707,2025-01-20 21:03:08
3627,18,52.24421,21.00151,2025-01-20 21:03:10
3628,2,52.29222,20.929838,2025-01-20 21:03:09
3637,24,52.2405,21.06294,2025-01-20 21:03:08
3640,11,52.23392,20.972967,2025-01-20 21:03:12
3643,11,52.22447,20.931564,2025-01-20 21:03:13
3644,11,52.23289,20.973087,2025-01-20 21:03:08
3645,11,52.211163,21.02232,2025-01-20 21:03:08
3646,11,52.229565,20.979921,2025-01-20 21:03:09
3647,23,52.260178,20.924812,2025-01-20 21:03:09
3649,17,52.20608,20.99955,2025-01-20 21:03:11
3802,27,52.27276,20.971954,2025-01-20 21:03:10
3804,20,52.29072,21.002012,2025-01-20 21:03:12
3805,20,52.241684,20.992887,2025-01-20 21:03:10
3806,27,52.255898,20.981989,2025-01-20 21:03:07
3808,13,52.233143,20.973303,2025-01-20 21:03:10
3809,20,52.231934,20.97206,2025-01-20 21:03:09
3810,27,52.23197,20.972609,2025-01-20 21:03:11
3812,20,52.2318,20.971802,2025-01-20 21:03:10
3813,27,52.226093,20.93942,2025-01-20 21:03:09
3815,13,52.256046,21.055464,2025-01-20 21:03:08
3816,20,52.290348,21.002277,2025-01-20 21:03:12
3817,27,52.23251,20.971329,2025-01-20 21:03:11
3819,27,52.22484,20.931087,2025-01-20 21:03:11
3820,27,52.23191,20.972244,2025-01-20 21:03:08
3821,27,52.272755,20.971884,2025-01-20 21:03:10
3822,13,52.231647,20.968714,2025-01-20 21:03:09
3823,13,52.232613,20.97227,2025-01-20 21:03:11
3827,13,52.2559,21.054964,2025-01-20 21:03:10
4001,6,52.299255,20.934141,2025-01-20 21:03:09
4005,6,52.29969,20.928757,2025-01-20 21:03:05
4007,6,52.292103,20.929869,2025-01-20 21:03:03
4008,15,52.19787,20.964964,2025-01-20 21:03:08
4010,6,52.263527,21.020714,2025-01-20 21:03:07
4011,15,52.222923,21.016058,2025-01-20 21:03:06
4012,6,52.277027,20.962479,2025-01-20 21:03:02
4015,28,52.26313,20.92704,2025-01-20 21:03:10
4016,6,52.274433,20.965588,2025-01-20 21:03:09
4019,23,52.236675,20.979187,2025-01-20 21:03:05
4102,4,52.167984,21.01601,2025-01-20 21:03:03
4104,17,52.181885,20.98874,2025-01-20 21:03:09
4105,4,52.30808,21.016092,2025-01-20 21:03:05
4106,4,52.31112,21.012976,2025-01-20 21:03:06
4108,17,52.307205,20.951889,2025-01-20 21:03:06
4109,33,52.2998,20.9321,2025-01-20 21:02:20
4114,17,52.305138,20.94767,2025-01-20 21:03:05
4115,4,52.25286,21.030266,2025-01-20 21:03:04
4116,4,52.281002,21.026499,2025-01-20 21:02:54
4118,4,52.274315,21.031239,2025-01-20 21:03:06
4201,14,52.170444,21.067749,2025-01-20 21:03:05
4202,16,52.17677,21.061117,2025-01-20 21:03:09
4203,2,52.291965,20.92956,2025-01-20 21:03:05
4204,2,52.341442,20.950455,2025-01-20 21:03:06
4213,11,52.207146,21.047342,2025-01-20 21:03:10
4215,16,52.181408,21.056139,2025-01-20 21:03:12
4217,16,52.230183,21.01148,2025-01-20 21:03:09
4218,16,52.19681,21.024115,2025-01-20 21:03:09
4219,14,52.15756,21.0758,2025-01-20 21:03:11
4220,16,52.187267,21.001015,2025-01-20 21:03:09
4221,16,52.187256,21.001015,2025-01-20 21:02:20
4223,16,52.209198,21.025991,2025-01-20 21:03:10
4224,14,52.18638,21.000998,2025-01-20 21:03:09
4226,16,52.177227,21.060602,2025-01-20 21:03:10
4227,16,52.211132,21.020647,2025-01-20 21:03:01
4228,14,52.209892,20.982248,2025-01-20 21:03:10
4229,11,52.22911,21.001158,2025-01-20 21:03:12
4230,14,52.217255,21.01945,2025-01-20 21:03:06
4231,16,52.271362,20.94384,2025-01-20 21:03:09
4232,11,52.22907,20.974808,2025-01-20 21:03:08
4233,14,52.209873,20.981665,2025-01-20 21:03:12
4234,14,52.198387,21.038494,2025-01-20 21:03:11
4235,16,52.249046,20.99892,2025-01-20 21:03:07
4236,16,52.160683,21.071838,2025-01-20 21:03:10
4237,16,52.15711,21.076538,2025-01-20 21:03:11
4238,16,52.18668,21.001095,2025-01-20 21:03:08
4239,11,52.186596,21.000685,2025-01-20 21:03:07
4240,11,52.186535,21.000467,2025-01-20 21:03:08
4246,11,52.21098,21.021471,2025-01-20 21:03:10
4248,16,52.210808,21.020966,2025-01-20 21:03:09
4249,16,52.224766,20.930895,2025-01-20 21:03:11
4253,11,52.186863,21.000507,2025-01-20 21:03:12
4254,16,52.234917,21.008686,2025-01-20 21:03:06
4255,14,52.186375,21.000713,2025-01-20 21:03:03
4256,16,52.29951,20.930864,2025-01-20 21:02:50
4257,33,52.298862,20.930323,2025-01-20 21:03:09
4258,14,52.218582,20.984468,2025-01-20 21:03:11
4259,16,52.262035,20.979967,2025-01-20 21:03:07
4261,17,52.340626,20.95022,2025-01-20 21:03:08
4263,16,52.18735,20.999228,2025-01-20 21:03:10
4265,14,52.20223,21.034946,2025-01-20 21:03:08
4266,16,52.27041,20.949707,2025-01-20 21:03:07
4267,16,52.193737,21.02431,2025-01-20 21:03:07
4271,16,52.190193,21.04695,2025-01-20 21:03:12
4272,16,52.24466,21.000992,2025-01-20 21:03:11
4278,33,52.30006,20.932291,2025-01-20 21:03:09
4279,17,52.272778,20.971794,2025-01-20 21:03:03
4281,16,52.157227,21.076147,2025-01-20 21:03:05
4282,33,52.274364,20.939661,2025-01-20 21:03:07
4285,17,52.24708,20.989117,2025-01-20 21:02:55
1276,28,52.299778,20.928366,2025-01-20 21:04:18
1284,28,52.268875,20.9327,2025-01-20 21:04:19
1290,33,52.222897,21.004698,2025-01-20 21:04:16
1300,22,52.226135,20.988115,2025-01-20 21:04:18
1306,7,52.218628,20.983025,2025-01-20 21:04:10
1310,28,52.283295,20.921007,2025-01-20 21:04:17
1314,28,52.23938,20.900166,2025-01-20 21:04:15
1318,18,52.207417,21.022108,2025-01-20 21:04:19
1330,17,52.34069,20.947678,2025-01-20 21:04:17
1336,28,52.252846,21.04997,2025-01-20 21:04:15
1346,28,52.25876,21.002394,2025-01-20 21:04:16
1356,28,52.238754,20.90096,2025-01-20 21:04:19
1360,33,52.260796,20.980717,2025-01-20 21:04:18
1362,18,52.277763,21.01202,2025-01-20 21:04:12
1364,26,52.292027,20.93008,2025-01-20 21:04:16
1366,22,52.26425,20.971996,2025-01-20 21:04:18
1368,33,52.29138,20.929462,2025-01-20 21:04:16
1372,33,52.26488,20.969893,2025-01-20 21:04:19
1380,33,52.292,20.930159,2025-01-20 21:04:17
1381,7,52.176235,20.94411,2025-01-20 21:04:15
1390,1,52.254944,20.983511,2025-01-20 21:04:18
1392,26,52.247536,21.017786,2025-01-20 21:04:18
1420,28,52.263073,21.02113,2025-01-20 21:04:15
1428,3,52.28101,21.02651,2025-01-20 21:04:17
1434,22,52.254482,20.981977,2025-01-20 21:04:20
1438,4,52.229492,21.01194,2025-01-20 21:04:11
1444,3,52.256153,21.055923,2025-01-20 21:04:16
1466,15,52.18942,21.020136,2025-01-20 21:04:17
2008,26,52.304897,21.024845,2025-01-20 21:04:18
